"ASSET","BANKS","DEP","EQNM","ID","NETINC","NIM","STNAME","YEAR"
"277000","210","217000","0","CB_1934_AL","0","","Alabama","1934"
"290000","207","244000","0","CB_1935_AL","0","","Alabama","1935"
"333000","208","285000","0","CB_1936_AL","0","","Alabama","1936"
"320000","208","271000","0","CB_1937_AL","0","","Alabama","1937"
"346000","208","298000","0","CB_1938_AL","0","","Alabama","1938"
"380000","209","330000","0","CB_1939_AL","0","","Alabama","1939"
"426000","209","375000","0","CB_1940_AL","0","","Alabama","1940"
"540000","211","487000","0","CB_1941_AL","0","","Alabama","1941"
"746000","211","691000","0","CB_1942_AL","0","","Alabama","1942"
"894000","211","836000","0","CB_1943_AL","0","","Alabama","1943"
"1089000","213","1026000","0","CB_1944_AL","0","","Alabama","1944"
"1374000","212","1306000","0","CB_1945_AL","0","","Alabama","1945"
"1299000","216","1223000","0","CB_1946_AL","0","","Alabama","1946"
"1341000","219","1260000","0","CB_1947_AL","0","","Alabama","1947"
"1343000","221","1255000","0","CB_1948_AL","0","","Alabama","1948"
"1297000","224","1202000","0","CB_1949_AL","0","","Alabama","1949"
"1375000","225","1271000","0","CB_1950_AL","9145","","Alabama","1950"
"1488000","226","1378000","0","CB_1951_AL","8578","","Alabama","1951"
"1569000","229","1451000","0","CB_1952_AL","9984","","Alabama","1952"
"1617000","231","1491000","0","CB_1953_AL","9689","","Alabama","1953"
"1692000","234","1556000","0","CB_1954_AL","13075","","Alabama","1954"
"1828000","237","1682000","0","CB_1955_AL","11092","","Alabama","1955"
"1884000","237","1723000","0","CB_1956_AL","11636","","Alabama","1956"
"1949000","239","1776000","0","CB_1957_AL","12777","","Alabama","1957"
"2137000","239","1951000","0","CB_1958_AL","17810","","Alabama","1958"
"2222000","237","2017000","0","CB_1959_AL","13350","","Alabama","1959"
"2350000","238","2121000","0","CB_1960_AL","21346","","Alabama","1960"
"2440000","238","2192000","0","CB_1961_AL","21662","","Alabama","1961"
"2659000","239","2386000","0","CB_1962_AL","22301","","Alabama","1962"
"2854000","242","2557000","0","CB_1963_AL","22368","","Alabama","1963"
"3156000","252","2843000","0","CB_1964_AL","23842","","Alabama","1964"
"3586000","263","3236000","0","CB_1965_AL","28217","","Alabama","1965"
"3936179","267","3544014","0","CB_1966_AL","39992","120403","Alabama","1966"
"4310175","266","3871399","0","CB_1967_AL","47115","132203","Alabama","1967"
"4762945","268","4286723","0","CB_1968_AL","45734","148377","Alabama","1968"
"5013803","268","4428120","0","CB_1969_AL","49915","177592","Alabama","1969"
"5681290","272","5024425","0","CB_1970_AL","59435","202667","Alabama","1970"
"6556374","273","5777332","0","CB_1971_AL","64920","212643","Alabama","1971"
"7737492","277","6791991","0","CB_1972_AL","73185","239356","Alabama","1972"
"8922820","287","7711713","0","CB_1973_AL","89732","289888","Alabama","1973"
"9767646","293","8367010","0","CB_1974_AL","97649","338904","Alabama","1974"
"10772953","299","9164081","0","CB_1975_AL","96587","359475","Alabama","1975"
"11872788","303","10169563","0","CB_1976_AL","110124","411211","Alabama","1976"
"13579232","310","11701473","0","CB_1977_AL","128884","465637","Alabama","1977"
"14737005","312","12657531","0","CB_1978_AL","141567","540711","Alabama","1978"
"15785086","317","13450183","0","CB_1979_AL","165928","620713","Alabama","1979"
"16859068","317","14089003","0","CB_1980_AL","180678","677161","Alabama","1980"
"18719337","308","15637110","0","CB_1981_AL","190559","711758","Alabama","1981"
"20426994","294","16632487","0","CB_1982_AL","201111","760268","Alabama","1982"
"22252300","273","17835100","0","CB_1983_AL","227923","830481","Alabama","1983"
"24660824","269","19802215","1942708","CB_1984_AL","252252","871208","Alabama","1984"
"26116985","240","20817350","2122298","CB_1985_AL","283003","970254","Alabama","1985"
"29288557","228","23443041","2318564","CB_1986_AL","322765","1036440","Alabama","1986"
"30815579","225","24585204","2509408","CB_1987_AL","316778","1098554","Alabama","1987"
"33606620","221","26958785","2702126","CB_1988_AL","364297","1158916","Alabama","1988"
"36181931","221","29284539","2875209","CB_1989_AL","346548","1231533","Alabama","1989"
"38903117","220","31881228","3000899","CB_1990_AL","380488","1365640","Alabama","1990"
"41190780","219","33560332","3145821","CB_1991_AL","407840","1553842","Alabama","1991"
"43845234","217","35362684","3502620","CB_1992_AL","524653","1800550","Alabama","1992"
"46907035","214","37373907","3943145","CB_1993_AL","616373","1904443","Alabama","1993"
"51345782","208","39566199","4130932","CB_1994_AL","610253","1968544","Alabama","1994"
"56322058","186","42137709","4679091","CB_1995_AL","673242","2061518","Alabama","1995"
"63220955","183","45477073","4994933","CB_1996_AL","771545","2293107","Alabama","1996"
"101184374","175","72695328","8292506","CB_1997_AL","1188144","3685697","Alabama","1997"
"140861182","160","101764973","11199575","CB_1998_AL","1507552","4870272","Alabama","1998"
"177727146","156","122523513","13481197","CB_1999_AL","1950342","6238291","Alabama","1999"
"181456064","158","129917114","14585467","CB_2000_AL","1977562","6200968","Alabama","2000"
"189687017","158","132086754","16093928","CB_2001_AL","2273860","6734468","Alabama","2001"
"201363249","151","139425817","17976194","CB_2002_AL","2616255","7301743","Alabama","2002"
